,titles,keys,cluster_num
7914,LOGO Littles by Lori Goldstein Twin Set Peplum Knit Top with Tank,"['care', 'content']",1
19022,LOGO Layers by Lori Goldstein Knit Top with Asymmetric Hem,"['care', 'fabrication', 'content']",1
15370,LOGO by Lori Goldstein Slub Knit Top w/ Pockets and Asymmetric Hem,"['care', 'fabrication', 'content']",1
12885,LOGO by Lori Goldstein Solid Tank with Embroidered Mesh Hi-Low Hem,"['care', 'fabrication']",1
12066,LOGO by Lori Goldstein Stripe Cardigan with Scalloped Lace Trim,"['care', 'fabrication']",1
269,LOGO by Lori Goldstein Slub Knit Vest with Embroidery and Chiffon Hem,"['care', 'fabrication']",1
16555,LOGO by Lori Goldstein Slub Knit Tank with Pockets and Seam Detail,"['care', 'content']",1
9761,LOGO by Lori Goldstein Sweater Knit Cardigan with Crochet Hem,"['care', 'fabrication']",1
2909,LOGO by Lori Goldstein Printed Top with Contrast Stripe Detail,"['care', 'content']",1
8847,'As Is' LOGO by Lori Goldstein Twin Set Novelty Knit Top with Tank,['care'],1
2309,LOGO Layers by Lori Goldstein Short Sleeve Scoop Neck Top with Curved Hem,"['care', 'content']",1
4324,LOGO by Lori Goldstein Cotton Slub Top w/ Embroidered Appliques,"['care', 'fabrication', 'content']",1
10784,Mercedes-Benz GLC Coupe Prices & Deals - Montana,"['transmissions_available', 'drive_wheels', 'seating']",2
10240,Mercedes-Benz Metris Prices & Deals - Mississippi,"['transmissions_available', 'engines_available', 'seating', 'drive_wheels']",2
2798,Mercedes-Benz C-Class Prices & Deals - Maine,"['transmissions_available', 'drive_wheels', 'seating']",2
7567,Mercedes-Benz GLE Coupe Prices & Deals - Ohio,"['transmissions_available', 'drive_wheels', 'seating']",2
5094,Mercedes-Benz E-Class Prices & Deals - Georgia,"['transmissions_available', 'drive_wheels', 'seating']",2
8792,Mercedes-Benz GLC Prices & Deals - Connecticut,"['transmissions_available', 'drive_wheels', 'seating']",2
1113,Mercedes-Benz AMG GT Prices & Deals - Nevada,"['transmissions_available', 'drive_wheels', 'seating']",2
761,Mercedes-Benz GLE Prices & Deals - West Virginia,"['transmissions_available', 'drive_wheels', 'seating']",2
12863,Mercedes-Benz GLE Coupe Prices & Deals - Texas,"['transmissions_available', 'drive_wheels', 'seating']",2
8164,Mercedes-Benz CLA Prices & Deals - Virginia,"['drive_wheels', 'seating']",2
5129,Mercedes-Benz C-Class Prices & Deals - Utah,"['transmissions_available', 'drive_wheels', 'seating']",2
14393,Mercedes-Benz E-Class Prices & Deals - New Mexico,"['transmissions_available', 'drive_wheels', 'seating']",2
18635,Mercedes-Benz G-Class Prices & Deals - Massachusetts,"['transmissions_available', 'drive_wheels', 'seating']",2
18750,RB5277,"['temple_length', 'shape']",3
16551,RB4278,"['temple_length', 'shape']",3
12849,RB2180F,"['temple_length', 'shape']",3
3729,RB4213,"['temple_length', 'shape']",3
16673,RB8902,"['temple_length', 'shape']",3
17356,RB7104D,"['temple_length', 'shape']",3
4153,RB7037,"['temple_length', 'overall', 'comfort', 'shape']",3
2995,RB6286,"['temple_length', 'shape']",3
11114,RB6262,"['temple_length', 'shape']",3
7501,RB7054F,"['temple_length', 'shape']",3
5039,RB5169,"['temple_length', 'overall', 'comfort', 'fit', 'shape']",3
5629,RB1037,['shape'],3
1853,RB4257F,"['temple_length', 'shape']",3
9051,RB8726D,"['temple_length', 'shape']",3
15913,RB4250,"['temple_length', 'overall', 'comfort', 'fit', 'shape']",3
14551,RB8411,"['temple_length', 'overall', 'shape']",3
17084,RB5268,"['temple_length', 'overall', 'comfort', 'fit', 'shape']",3
16543,Guild F2512E 12String Acoustic Electric Guitar Natural with Bag,"['number_of_frets', 'fingerboard_material', 'neck_material', 'bridge']",4
678,"Ibanez GIO Series GRX20Z Electric Guitar, Black With Accessory Bundle","['number_of_frets', 'number_of_strings', 'dexterity']",4
2073,Artcore AF75TDG Hollowbody Electric Guitar Level 3 Vintage Sunburst 190839022813,"['special_features', 'body_finish', 'orientation', 'number_of_strings', 'accessories', 'number_of_frets', 'neck_finish', 'case', 'truss_rod', 'neck_wood', 'fret_size', 'color']",4
17634,Ibanez AS73G Artcore Semi-Hollow Electric Guitar Mint Blue,"['truss_rod', 'neck_wood', 'number_of_frets', 'neck_finish']",4
16500,Yamaha APX500IIIVS Acoustic-Electric Guitar,"['fingerboard', 'neck', 'top']",4
828,Repacked Schecter Stiletto Stealth-5 5 String Left Hand Bass Guitar - Satin Black,['neck_material'],4
5122,Fret King Black Label Ventura Electric Guitar with Gig Bag Laguna Blue,['fingerboard'],4
4598,"Vox SDC22 Double-Cutaway, Black Solidbody Electric Guitar",['color'],4
13405,Chord 174.334UK Cal63 Electric Guitar Arctic Gloss Right-handed,"['body', 'nut_width', 'fingerboard', 'neck']",4
9753,Fender Vibro-King Custom 20th Anniversary Guitar Combo - Brown Edition,"['wattage', 'color']",4
2413,ESP LTD EC-1000 6-String Electric Guitar Koa Limited Edition,"['body', 'hardware', 'fingerboard']",4
4566,User Reviews for Ernie Ball 2215 Skinny Top Heavy Bottom Electric Guitar Strings (10-52),"['overall', 'value', 'features']",4
7478,Taylor 200 Series 210e Deluxe Dreadnought Acoustic-electric Guitar Natural,['platform'],4
9174,Takamine G360S G Series Dreadnought Acoustic Guitar,"['fingerboard', 'top']",4
6819,Vintage 1960s Harmony H77 Redburst USA Original Hollow Body 335 Electric Guitar,"['fingerboard', 'colour']",4
14648,PRS SE Custom 24 Electric Guitar in Scarlet Red w/ Deluxe Gig Bag,"['neck_wood', 'number_of_frets']",4
4067,Takamine Acoustic Guitar GD93 NAT Dreadnought/SOLID SPRUCE TOP,['warranty_type'],4
6560,Gibson ES-335 Hollow Body Electric Guitar - Cherry,"['series', 'colour']",4
13298,Taylor 712ce 12-fret Rosewood Electro Acoustic Guitar,"['number_of_strings', 'weight']",4
18011,"Fender American VG Stratocaster Electric Guitar, Maple Neck, Black (SP)",['number_of_strings'],4
13042,Washburn Martin Acoustic Electric Guitar Grover Made In USA D28 US D12cen D-12ce N 1987 Natural Maple Rosewood Back Taylor 714 Case,"['year', 'categories', 'product_specscondition']",4
4022,ES-175 Premium Hollowbody Electric Guitar,"['nut_width', 'hardware']",4
8997,GJ72CE-12 G Series Jumbo Cutaway 12-String Acoustic-Electric Guitar,"['neck_material', 'neck_finish', 'number_of_frets']",4
16619,"2017 New High quality Three pickup rickenbacker 325 electric guitar,Give the signature,Real photos,free shipping Hot Sale!!!",['unit_type'],4
11263,"Fender American Elite Telecaster Thinline, Maple Fingerboard, Natural Electric Guitar",['body_finish'],4
17035,New Arrival black 4003 4 strings Electric Bass Korea hardware high quality bass guitars free shipping (accept custom all kinds of color),"['color', 'quantity']",4
9551,Dean 6 String Exhibition Koa Acoustic/Electric Guitar w/ Aphex – Gloss Natural,"['finish', 'fingerboard']",4
12737,Guild Gad Series F-130 Natural Orchestra Acoustic Guitar + Case,"['dexterity', 'platform']",4
8521,GRETSCH G2420T Streamliner Hollow Body Electric Guitars w/ Bigsby,"['body_finish', 'neck_finish']",4
5558,FG820 Dreadnought Spruce/Mahogany Acoustic Guitar,"['body_finish', 'colour', 'fingerboard_material', 'neck_material']",4
12886,Ibanez AM53 SRF Electric Hollowbody Guitar,"['series', 'colour']",4
9986,Fender American Elite Telecaster Thinline Maple Fingerboard Electric Guitar Natural 0114312721,"['truss_rod', 'neck_wood', 'body_finish', 'orientation', 'fret_size', 'number_of_strings', 'number_of_frets', 'neck_finish', 'case']",4
8095,"Fender Japan FSR Jaguar Special Electric Guitar, 3-Tone Sunburst","['fingerboard', 'hardware', 'case_included']",4
3812,D-42 Peter Frampton Dreadnought Acoustic Guitar,"['fingerboard_material', 'neck_shape', 'back_material', 'binding', 'neck_material', 'construction']",4
3387,"Hand Spinner, Bekhic Pro Metal Fidget Tri-Spinner Toys Stress Reducer Ceramic Bearing - Perfect For ADD, ADHD, Anxiety, and Autism Adult Children … (Golden)",['manufacturer_recommended_age'],5
8184,"Premium Quality Fidget Spinner Toy By Epic Yak - With Durable, Not 3D-Printed Polymer Frame & Hybrid Ceramic 608 Center Bearing - Ideal For Anxiety, Fidgeting, ADHD, ADD & OCD",['manufacturer_recommended_age'],5
16464,"Hand Spinner, BESTTY Metal 3D Ultra Durable Triangle Hand Spinner EDC Fidget Spinner Toy Fingertip Gyro for For ADD, ADHD, Anxiety, Made High Speed - Up to 5 Mins (Black)",['manufacturer_recommended_age'],5
5299,Anti-Stress Toy Colorful Zig-Zag Triangle Fidget Spinner,"['package_contents', 'frame_material', 'features']",5
592,"Bekhic Pro Hand Spinner High Speed Brass Metal EDC Fidget Toys Relieving, Perfect For ADD, ADHD, Anxiety, and Autism Adult Children (Golden)",['color'],5
11774,Jewby 5-Circle Fidget Hand Spinner Triangle Alloy Finger Toy EDC Focus ADHD Autism,['manufacturer_recommended_age'],5
9182,"Fidget Spinner Toy,EDC Finger Toy Ultra Fast Bearings Great Gift for ADD,ADHD,Autism Adult Children(Metal Rainbow)",['manufacturer_recommended_age'],5
4145,Amy & Benton High Speed Hand Spinner for Adults-- 1 Min Small Size Yellow Not Wobbling,['color'],5
18040,Tri Fidget Hand Spinner Triangle DIY Puzzle Finger Toy EDC Focus Toys For ADHD Learning &Educational Toy,['unit_type'],5
4183,"Tri-Fidget Hand Spinner, Aluminum Alloy Metal EDC Sensory Fidget Spinner Hands bearing By Comroll, Smooth Spinning High Speed Relieving ADHD, Anxiety, Boredom and Autism Finger Kids/Adult Toys Gift",['manufacturer_recommended_age'],5
17309,Luminaud Hi-Gain 3-Way Headband Microphone,['width'],6
9957,PYLE PROFESSIONAL GOOSENECK TYPE TABLE TOP DESK CONDENSER MIC MICROPHONE NEW,"['type', 'connectivity']",6
11561,Audio Technica AT831R Cardioid Condenser Lavalier Microphone,"['connectivity_technology', 'product_type', 'host_interface', 'green_compliance_certificateauthority']",6
16624,Floureon BM-800 Condenser Studio Recording Microphone and Shock Mount Holder Blue,['color'],6
16635,BP892C MicroSet Condenser Headworn Microphone Level 1 AT Unipak Beige,['polar_pattern'],6
12079,Audio-Technica PRO 37 Condenser Microphone,['polar_pattern'],6
17914,SHURE PGA98HTQG Clip-On Cardiod Condenser Horn Microphone,"['type', 'polar_pattern']",6
16193,Shure BETA 98AMP/C 3-Pak Microphone,['polar_pattern'],6
8120,The Pillow Collection Kostya Green 18 x 18 Geometric Throw Pillow,"['finish', 'usage']",7
4818,Surya - Ikat Dots - Throw Pillow,"['pattern', 'shape', 'cleaning_instructions']",7
3618,Pillow Perfect Outdoor/ Indoor Allee Peacock 18-inch Throw Pillow,['usage'],7
18305,The Pillow Collection Rahim Green 18 x 18 Geometric Throw Pillow,['usage'],7
4712,The Silk Group French Grey 22x22-Inch Square Silk Shantung Luxury Decorative Pillow Cover Only,['usage'],7
1760,The Silk Group Black 22x22-Inch Silk Dupioni Square Poly Insert Decorative Pillow,['usage'],7
17614,The Pillow Collection Eimear Green 18 x 18 Floral Throw Pillow,"['usage', 'finish']",7
5127,The Pillow Collection Alton Red 18 x 18 Stripes Throw Pillow,"['finish', 'usage']",7
16937,The Pillow Collection Daxiam Brown and White 18 x 18 Stripes Throw Pillow,['usage'],7
8547,Waverly Sonnet Sublime Tufted Oblong 12 x 27-Inch Decorative Pillow,['usage'],7
6996,251 First Fulton Tan and Black 18-Inch Pillow with Poly Fill,['usage'],7
17547,Surya - Metallic Stamped - Throw Pillow,"['pattern', 'shape', 'cleaning_instructions']",7
19168,The Pillow Collection Mahanoro Pink 18 x 18 Floral Throw Pillow,['usage'],7
18150,2007 Jeep Grand Cherokee,"['year', 'transmission_type', 'cylinders', 'model']",8
16706,Used 2006 Jeep Grand Cherokee,['total_seating'],8
2717,"2017 Jeep Grand Cherokee $39,032","['audio_auxiliary_input', 'transmission', 'color', 'features', 'mileage']",8
11839,"2015 Jeep Cherokee - $18,886","['doors', 'transmission', 'fuel']",8
15306,2007 Jeep Grand Cherokee Limited,"['drive_train', 'brakes', 'epa_classification', 'drivetrain', 'interior', 'suspension', 'air_conditioning', 'transmission', 'steering', 'seating']",8
3377,2014 Jeep Grand Cherokee Limited 4x4 SUV 4x4 near Orlando FL,"['front_seats', 'exterior_length', 'rear_headroom', 'interior_color', 'automatic_temperature_control', 'front_headroom', 'electronic_stability', 'drive_type', 'seats_and_trim', 'engine_location', 'rear_seats']",8
17027,New 2017 Jeep Cherokee,['total_seating'],8
946,"2016 Jeep Grand Cherokee $75,021","['transmission', 'color', 'features', 'mileage']",8
16794,Jeep GRAND CHEROKEE 3.0 CRD Overland 5dr Auto (2014),"['technical', 'interior', 'previous_owners', 'fuel', 'exterior']",8
13454,"2017 Jeep Grand Cherokee Limited SUV Long Island, NY","['driver_vanity_mirror', 'front_dual_zone_ac', 'illuminated_entry', 'dual_front_side_impact_airbags', 'air_conditioning', 'abs_brakes', 'electronic_stability', 'remote_keyless_entry', 'traction_control', 'panic_alarm']",8
11517,"2016 Chevrolet Impala - $22,500","['views', 'drive_type', 'doors', 'status', 'transmission']",1
4443,2011 Chevrolet Impala 3.50 LS - Lindsay,"['status', 'transmission', 'automatic']",1
5180,2017 Chevrolet Impala LT,"['wifi', 'body', 'traction_control', 'drive_type', 'transmission', 'int_color', 'clock', 'mileage', 'power_windows', 'engine', '2-stage_unlocking', 'tachometer']",1
111,"2007 Chevrolet Impala 4dr Sedan 3.5L LT for sale in Indianapolis, Indiana, United States","['model', 'year', 'doors', 'interior_color', 'type', 'number_of_cylinders', 'transmission', 'fuel', 'color']",1
8734,2016 Chevrolet Impala LT,['input'],1
7843,2010 Chevrolet Impala - Winnipeg,"['status', 'transmission', 'automatic']",1
755,"2017 Chevrolet Impala 2.50 LT, CLOTH/LEATHERETTE, BLUETOOTH - Waterloo","['status', 'transmission', 'automatic', 'black']",1
9987,2016 Chevrolet Impala LT Sedan,"['recommended_fuel', 'compression_ratio', 'exterior_color', 'drive_type', 'interior_color']",1
191,Rasav Gems 22.55ctw 18x13x8.6mm Oval Black Spinel Opaque Surface Clean Aaa - (code -3146),"['type', 'shape', 'color']",2
11546,Rasav Gems 8.64ctw 15.80x11.50x7.70mm Oval Golden Brown Beer Quartz Very Good Eye Clean Aaa+ - (code -1478),"['type', 'shape', 'color']",2
5706,Rasav Gems 2.67ctw 8.3x8.3x5.4mm Cushion Green Peridot Excellent Visibly Clean Aaa - (code -2122),"['type', 'color']",2
8915,Rasav Gems 9.83ctw 14.70x12x8.3mm Oval Golden Brown Beer Quartz Excellent Loupe Clean Aaa+ - (code -1490),"['type', 'shape', 'color']",2
9804,Rasav Gems 9.46ctw 18x13x8.30mm Pear Green Amethyst Excellent Loupe Clean Top Grade - (code -828),"['type', 'shape', 'color']",2
2273,Rasav Gems 9.80ctw 14.2x14.2x6.6mm Round Blue Blue Lace Agate Translucent Surface Clean Aaa - (code -3119),"['type', 'shape', 'color']",2
4920,Rasav Gems 5.09ctw 14x10x6.60mm Oval Yellow Citrine Excellent Loupe Clean Top Grade - (code -346),"['type', 'shape', 'color']",2
11051,"Privacy Anti-Spy Real Tempered Glass Screen Protector Shield for 4.7"" iPhone6 6s","['free_shipping', 'ships_to']",3
10246,"Galaxy Note 5 Screen Protector, JETech Tempered Glass Screen Protector Film for Samsung Galaxy Note 5","['label', 'studio', 'productgroup']",3
9838,Details about Colorful Plating Tempered Glass Screen Protector for iPhone SE 5S 5C,['compatible_brand'],3
12385,Revamp Simple Snap Screen Protector (iPhone 5/5S) (Tempered Glass) Transparent,['product_type'],3
8938,Ultra Thin Explosion Proof Tempered Glass Screen Protector for Apple iPhone 5s 5 5c,"['binding', 'productgroup']",3
339,Details about 5-PACK PREMIUM ULTRA THIN TEMPERED GLASS SCREEN PROTECTOR FOR SAMSUNG GALAXY S5,['color'],3
5422,0.21mm Tempered Glass Screen Protector for iPhone 5s Anti-shock,"['package', 'use']",3
10208,Details about JETech® Tempered Glass Screen Protector For Samsung Galaxy S7 Edge S6 Edge Plus,['compatible_brand'],3
3915,Ferrari California,"['drive_train', 'no_of_doors', 'power', 'transmission', 'mileage', 'seating_capacity']",4
8289,Ferrari California T 3.8 (A),"['seating_capacity', 'type', 'boot_capacity']",4
7347,FERRARI 458 SPECIALE *Superb Specification* - September (2014),"['technical', 'interior', 'previous_owners', 'fuel', 'exterior']",4
12482,Ferrari 250GT (1959),"['technical', 'interior', 'previous_owners', 'transmission', 'fuel', 'dimension', 'exterior']",4
437,FERRARI 308 GT4 (1978),"['technical', 'interior', 'previous_owners', 'transmission', 'fuel', 'dimension']",4
1976,Ferrari California 4.3 (A),"['availabilty', 'colour', 'car_type', 'fuel_type', 'transmission', 'car_category']",4
51,"Ferrari 360, RH...",['warranty'],4
3625,1964 Ferrari 330 GT 2+2 Series I (1964),"['technical', 'interior', 'previous_owners', 'transmission', 'fuel', 'dimension', 'exterior']",4
10682,FERRARI 458 SPECIALE (2015),"['technical', 'interior', 'previous_owners', 'fuel', 'exterior']",4
11610,Ferrari California RHD (2009),"['technical', 'interior', 'previous_owners', 'transmission', 'fuel', 'dimension', 'exterior']",4
8335,Ferrari F355 F1,"['doors', 'vehicle_sub_type', 'colour', 'gear_type', 'fuel_type']",4
2976,"Ferrari 348, RH,...",['warranty'],4
2828,2005 Ferrari 575 Superamerica (2005),"['technical', 'interior', 'previous_owners', 'transmission', 'fuel', 'dimension', 'exterior']",4
6846,Samsung ST200F Review,"['viewfinder', 'shutter', 'max_aperture', 'resolution', 'sensor_size']",5
10127,Samsung ST93 Specifications,"['ntscpal_switchable_video', 'microphone_jack', 'self-cleaning', 'waterproof', 'lens_mount', 'shutter_priority', 'sensor_size', 'optical_image_stabilization', 'full_manual_exposure', 'manual_focus', 'bulb_mode', 'aperture_priority', 'touchscreen', 'eye-level_viewfinder', 'aspect_ratio', 'auto_focus_assist_light', 'built-in_wi-fi', 'camera_format', 'sensor_format', 'headphone_jack', 'zoom_ratio', 'thread_type', 'bluetooth', 'pictbridge_compliant']",5
1449,Samsung C24FG70,"['brightness', 'productgroep']",5
1781,Samsung DV150F Review,"['viewfinder', 'shutter', 'extended_iso', 'sensor_size']",5
540,Samsung S19E200BR,"['product_type', 'vertical_viewing_angle', 'response_time', 'backlight_technology', 'mount_type', 'aspect_ratio', 'horizontal_viewing_angle', 'screen_mode']",5
11995,Samsung Gear S2,"['contained_battery_type', 'video_game_platform']",5
8989,Samsung RF25HMEDBSR/AA,"['energy_star_certified', 'defrost_type', 'temperature_control_type', 'package_contents', 'color', 'shelves', 'gallon_door_storage', 'type', 'display_color', 'humidity_controlled_crispers']",5
12031,"2017 Ram 1500 $32,864","['features', 'transmission', 'mileage', 'color']",6
595,"2017 Ram $71,525","['audio_auxiliary_input', 'color', 'transmission', 'mileage']",6
3099,"$35,625 2017 Ram 1500 ST","['ext_color', 'mileage', 'location']",6
2615,"2017 Ram $58,592","['audio_auxiliary_input', 'color', 'transmission', 'mileage']",6
10836,"2017 Ram 1500 $53,857","['audio_auxiliary_input', 'features', 'transmission', 'mileage', 'color']",6
12296,New 2017 Ram 1500,"['vehicle_type', 'location', 'year', 'model']",6
2309,"2017 Ram 1500 $39,045","['features', 'audio_auxiliary_input', 'transmission', 'mileage']",6
10436,"2017 Ram 1500 $43,594","['features', 'transmission', 'mileage', 'color']",6
650,"2017 Ram $31,968","['color', 'transmission', 'mileage']",6
3124,VHC Brands Vincent Lined Curtain Panel Pair by VHC Brands,"['care_instructions', 'color']",7
413,VHC Brands Graham Lined Scalloped Valance by VHC Brands,"['care_instructions', 'color']",7
3490,VHC Brands Parker Lined Scalloped Valance by VHC Brands,"['care_instructions', 'color']",7
8295,VHC Brands Karina Tab Top Curtain Panel Pair by VHC Brands,"['care_instructions', 'color']",7
806,VHC Brands Quinn Tab Top Valance by VHC Brands,"['care_instructions', 'color']",7
12014,VHC Brands Vincent Lined Tier Curtain by VHC Brands,"['care_instructions', 'color']",7
9036,VHC Brands Braxton Lined Scalloped Valance by VHC Brands,"['care_instructions', 'color']",7
9583,VHC Brands Paloma Tab Top Curtain Panel by VHC Brands,['care_instructions'],7
8210,Fujifilm FinePix Z20fd,['viewfinder'],8
837,Fujifilm S8300 Review,"['viewfinder', 'shutter', 'sensor_size', 'resolution']",8
4238,Fujifilm announces FinePix S2000HD,"['self_timer', 'aspect_ratio', 'battery_form_factor', 'image_stabilization', 'video']",8
4095,Fujifilm X10 Review,"['shutter', 'viewfinder', 'resolution']",8
7959,Fujifilm JX350 Specifications,"['ntscpal_switchable_video', 'sensor_type', 'hd_video_out', 'microphone_jack', 'self-cleaning', 'built-in_wi-fi', 'lens_mount', 'self_timer', 'digital_zoom', 'pictbridge_compliant', 'composite_video_out', 'shutter_priority', 'usable_battery_types', 'sensor_size', 'usable_memory_types', 'optical_image_stabilization', 'remote_control', 'full_manual_exposure', 'rear_display_resolution', 'viewfinder', 'manual_focus', 'camera_format', 'bulb_mode', 'aperture_priority', 'touchscreen', 'eye-level_viewfinder', 'aspect_ratio', 'auto_focus_assist_light', 'sensor_format', 'headphone_jack', 'external_connections', 'raw_capture_support', 'zoom_ratio', 'waterproof', 'thread_type', 'bluetooth', 'exposure_compensation']",8
11022,Fujifilm A920 Specifications,"['bulb_mode', 'built-in_wi-fi', 'nfc', 'digital_zoom', 'waterproof', 'battery_form_factor', 'remote_control', 'full_manual_exposure', 'viewfinder', 'camera_format', 'aperture_priority', 'auto_focus_assist_light', 'external_connections', 'zoom_ratio', 'pictbridge_compliant', 'ntscpal_switchable_video', 'microphone_jack', 'lens_mount', 'self_timer', 'composite_video_out', 'thread_type', 'shutter_priority', 'self-cleaning', 'optical_image_stabilization', 'manual_focus', 'included_memory_type', 'touchscreen', 'eye-level_viewfinder', 'aspect_ratio', 'headphone_jack', 'raw_capture_support', 'bluetooth']",8
9105,Fujifilm A900 Specifications,"['bulb_mode', 'built-in_wi-fi', 'nfc', 'digital_zoom', 'waterproof', 'battery_form_factor', 'remote_control', 'full_manual_exposure', 'viewfinder', 'camera_format', 'aperture_priority', 'external_connections', 'zoom_ratio', 'pictbridge_compliant', 'ntscpal_switchable_video', 'microphone_jack', 'auto_focus_assist_light', 'lens_mount', 'self_timer', 'composite_video_out', 'thread_type', 'shutter_priority', 'self-cleaning', 'optical_image_stabilization', 'manual_focus', 'included_memory_type', 'touchscreen', 'eye-level_viewfinder', 'aspect_ratio', 'headphone_jack', 'raw_capture_support', 'bluetooth']",8
4767,"Range Oven Door Trim, Left (Bisque) Part #: WP8523173",['category'],9
5872,Range Oven Door Outer Glass (Black) Part #: 316452701,['category'],9
10327,Range Oven Door Inner Glass Part #: 316427701,['category'],9
3748,Range Oven Rack Part #: 318345200,['category'],9
2975,Range Oven Rack Part #: WB48T10024,['category'],9
7019,Range Oven Control Board Part #: 318183622,['category'],9
9788,Whirlpool WP74008629 Range Stove Oven Control Board and Overlay,['color'],9
11145,Range Oven Door Glass Retainer Cover Part #: 318262104,['category'],9
980,Range Oven Control Board Part #: WP8507P233-60,['category'],9
8002,Range Oven Rack Part #: WPW10346265,['category'],9
1816,"Allier 60"" Double Modern Bathroom Vanity Set with Mirror","['mounting', 'number_of_doors', 'assembly_required', 'drawers_included', 'top_material', 'number_of_drawers']",10
10329,"Ripley 54"" Double Wall Mount Modern Bathroom Vanity in White without Mirror","['color', 'mounting', 'assembly_required', 'number_of_drawers', 'number_of_doors']",10
11632,Del Mar Bath Suite with 36 in. Vanity with Vanity Top in Linen Tower Over-the-John and Medicine Cabinet in White,"['faucet_hole_spacing_in', 'assembly_required']",10
151,Ledin Havana 900mm En Suite Bathroom Vanity,['no_of_doors'],10
1028,Duravit DN6470 Darling New Wall-Mounted Modern Bathroom Vanity Unit,"['installation_type', 'number_of_drawers']",10
2990,"Fresca Platinum FPVN7564-WH-GR-GR Giocco 32"" Glossy White/Gray Modern Bathroom Vanity","['installation_type', 'number_of_drawers', 'installation_hardware_included']",10
