,unique_key,clus_num
0,brightness,a3
20,swivel,a3
22,vesa_mount_standard,a3
25,vertical_viewing_angle,a3
36,usb_standard,a3
37,security,a3
38,accessory_type,a4
39,total_pixels,a4
48,storage,a4
58,flash_compensation,a4
65,live_view,a4
72,effective_pixels,a4
81,monitor_resolution,a4
89,flash_sync_terminal,a4
95,exposure_compensation,a4
99,sensor_size,a4
103,image_formats,a4
109,is_autographed,a4
110,file_format,a4
111,scan_format,a5
112,remote_control,a5
114,cartridge_capacity,a6
115,printer_series,a6
116,delay-off_headlights,a7
117,bodystyle,a7
118,mpg,a7
119,recommended_use,a8
123,serial_port,a8
124,grid_pattern,a9
135,u-factor,a9
145,window_type,a9
156,number_of_locks,a9
167,solar_heat_gain_coefficient,a9
177,lock_type,a9
188,crown,b1
192,function,b1
194,luminiscence,b1
196,metal_type,b1
197,dial_markers,b1
198,creator,b1
199,chronograph,b1
200,depth,b10
204,base_size,b10
212,seat_material,b10
213,package_weight,b11
231,angle,b11
232,product_weight,b11
235,number_of_edges,b11
238,shank,b11
239,insert_size,b11
240,date_last_updated,b11
241,cutting_direction,b11
242,bumpers,b13
245,roadside_assistance_coverage,b13
247,corrosion_perforation_warranty,b13
249,powertrain_warranty,b13
251,rear_window_defroster,b13
252,amfm_radio,b13
253,fiber_optic_mode,b14
254,connector_on_first_end,b14
256,corecladding_diameter,b14
257,operating_temperature,b15
258,city,b17
261,company,b17
264,ext_color,b17
265,child_lock,b19
266,chip_inch_size,b2
274,specialist_type,b2
276,rotation_angleso,b2
277,resolution_tvl,b2
283,sensitivity_lux,b2
287,dome_type,b2
293,signal_mode,b2
297,zoom_ratio,b2
299,electronic_shutter_range,b2
300,s_n_signal_noise_ratio_db,b2
303,presets,b2
305,ip_rating,b2
306,cartridge_yield_type,b20
310,socket_depth,b22
313,sae_or_metric,b22
316,item,b22
319,number_of_points,b22
320,fob_port,b22
321,color_temperature,b23
324,base_type,b23
325,watt_equivalence,b23
327,number_of_handles,b23
328,number_in_package,b23
330,rechargeable,b24
331,terminal_type,b24
332,faucet_type,b25
342,valve_material,b25
352,connection_size_in,b25
362,minimum_sink_holes_required,b25
370,grey,b3
371,cosmetic_condition,b4
380,original_carrier,b4
390,front,b6
391,model_code,b6
392,regular_unleaded,b6
393,process_technology,b8
399,quickpath_interconnect,b8
410,processor_socket,b8
421,number_of_power_supplies_installed,b8
431,graphics_controller_model,b8
457,controller_type,b8
470,raid_levels,b8
476,unitate_optica,b8
483,chipset,b8
492,hyper-threading,b8
510,vpro_technology,b8
518,graphics_type,b8
537,wireless_lan_standard,b8
560,optical_drive,b8
615,tip_ram,b8
623,hdmi_ports,b8
624,installed_qty,b8
628,max_supported_qty,b8
631,speaker_type,b8
633,number_of_cores,b8
651,graphics,b8
658,remote_management_protocol,b8
659,taa_compliant,b8
660,keyboard,b8
670,video_memory,b8
677,wlan,b8
681,server_scalability,b8
687,optical_media_supported,b8
695,wired_connectivity,b8
703,keyboard_type,b8
710,finger_print_reader,b8
719,number_of_pci_express_x16_slots,b8
730,wwan_supported,b8
738,power_redundancy,b8
741,card_description,b8
750,more_from,b8
753,estimated_delivery,b8
754,plating,b8
755,modem,b8
758,screen_size,b8
760,products_status,b8
761,graphic_mode,b8
762,each_master_box_has,b8
763,dlna,b8
764,ram_technology,b8
767,eco-labelstandard,b8
768,ram_type,b8
769,power_device,b8
770,wall_mountable,b9
772,volume_control,b9
773,speakerphone,b9
777,clock,b9
778,multi-function_steering_wheel,c1
785,alarm,c1
786,cylinders-stroke,c1
787,cc,c1
788,eco-conscious,c10
789,start_type,c10
793,lid_type,c10
798,opening_width,c10
800,liner_material,c10
802,casters,c10
803,additional_materials,c10
804,rug_weave,c11
841,thread_direction,c12
842,comfort,c13
846,water_filtration,c15
847,sabbath_mode,c15
852,commercial,c15
853,amps,c15
863,cantilever_shelves,c15
869,slide-out_shelves,c15
873,spill_safe_shelves,c15
878,split_shelves,c15
884,gallon_door_storage,c15
895,glass_door,c15
901,freezer,c15
906,adjustable_door_bins,c15
912,undercounter,c15
918,quick_freeze,c15
919,water_filter,c15
923,control_location,c15
927,ice_style,c15
931,freezer_interior_light,c15
935,door_hinge,c15
939,thru_door_dispenser,c15
943,us_electrical_safety,c15
946,thermostat_type,c15
949,crisper_finish,c15
951,cabinet,c15
953,fan_type,c15
955,reversible,c15
958,low_side_psi,c15
961,adjustable,c15
962,digital_display,c15
964,manufacturer_guarantee,c15
965,height_of_cabinet,c15
966,csa_certified,c15
968,tank_range,c17
969,silver,c18
970,tile_finish,c19
976,tile_material,c19
982,product_thickness_mm,c19
988,number_of_tiles_per_case,c19
994,break_strength_lb,c19
995,suggested_grout_line_size,c19
1001,tile_features,c19
1005,approximate_tile_size,c19
1010,mosaic_sub_unit_width_in,c19
1013,coverage,c2
1016,reticle,c2
1023,objective_diameter,c2
1025,magnification,c2
1028,qty_per_carton,c2
1029,details,c2
1032,in,c2
1035,operator_type,c2
1039,ul,c2
1040,csa,c2
1044,operator_action,c2
1048,objective,c2
1054,eye_relief,c2
1057,uv_protected,c2
1059,frame_size,c2
1061,knob_type,c2
1064,number_of_positions,c2
1067,stock_status,c2
1068,y,c2
1069,group,c2
1070,-gender,c2
1071,base,c2
1072,proofs,c2
1073,targeted_group,c2
1074,point_type,c20
1084,pocket_clip,c20
1092,refillable,c20
1101,retractable,c20
1107,ink_type,c20
1113,grip_type,c20
1118,iso_mc,c22
1124,application_material_classification,c22
1134,clearance,c22
1139,radio,c23
1141,gprs,c23
1142,browser,c23
1144,java,c23
1146,resolution,c23
1147,sim,c23
1148,diameter,c24
1149,spout_type,c24
1152,essential_properties,c24
1153,handles,c24
1154,valve_included,c24
1155,drain_included,c24
1157,installation,c24
1158,frame_type,c24
1164,framehardware_finish_family,c24
1169,handle_style,c24
1174,handle_finish,c24
1179,drain_location,c24
1180,content,c25
1186,coverage_area_sq_ft,c26
1198,paintstain_clean_up,c26
1211,sheen,c26
1224,dry_to_touch_min,c26
1236,paintstain_key_features,c26
1245,time_before_recoating_hours,c26
1258,container_size,c26
1270,tint_base,c26
1283,offset,c27
1294,hub,c27
1306,bolt_pattern,c27
1314,end_type,c27
1315,flutes,c27
1316,number_of_modules,c3
1321,cas_latency,c3
1326,signal_processing,c3
1335,memory_voltage,c3
1339,error_checking,c3
1344,applicationusage,c3
1345,upgrade_type,c3
1347,memory_interface,c3
1353,rohs_compliance,c3
1354,media_type,c3
1355,enclosure,c4
1363,software_included,c4
1365,buffer,c4
1369,rotational_speed,c4
1372,contents,c4
1374,beam_spread,c5
1376,connection_type,c5
1377,number_of_bulbs,c5
1378,included,c5
1379,pixel_density,c6
1380,ingress_protection_code,c8
1395,connection,c8
1406,lamp_power_w,c8
1407,optical_coverlens_type,c8
1422,lamp_colour_code,c8
1437,glow-wire_test,c8
1452,number_of_light_sources,c8
1466,flammability_mark,c8
1476,protection_class_iec,c8
1492,mech_impact_protection_code,c8
1507,packs_per_outerbox,c8
1523,driverpower_unittransformer,c8
1536,driver_failure_rate_at_5000_h_,c8
1550,cable,c8
1552,maximum_dim_level,c8
1566,suitable_for_random_switching,c8
1580,low_temp_range_f,c8
1595,ul_mark,c8
1596,lamp_family_code,c8
1603,earpiece_design,c9
1608,package_contents,d10
1609,brakes,d14
1610,suspension,d14
1611,steering,d14
1612,seats_and_trim,d14
1613,audio_auxiliary_input,d14
1614,polar_pattern,d15
1618,bristle_material,d16
1619,listing_type,d17
1620,dial_shape,d3
1621,strap_color,d3
1624,strap_type,d3
1627,unknown,d4
1628,red,d4
1629,power_options,d4
1630,product_specscondition,d6
1632,truss_rod,d6
1635,neck_wood,d6
1639,number_of_frets,d6
1646,neck_finish,d6
1651,fingerboard,d6
1662,neck_material,d6
1667,bridge,d6
1668,top,d6
1670,hardware,d6
1673,case_included,d6
1674,dexterity,d6
1676,body_finish,d6
1681,fret_size,d6
1683,neck,d6
1686,nut_width,d6
1688,blue,d8
1690,manual,d8
1691,expansion,e1
1696,bore_type,e1
1699,part_number,f103.0
1719,phase,f106.0
1730,publication_date,f120.0
1745,published,f121.0
1755,select_a_size,f143.0
1765,size_type,f146.0
1778,waist,f147.0
1797,us,f147.0
1816,wash_care,f178.0
1841,browse_similar_products_by_category,f18.0
1851,x-large,f183.0
1863,care_instruction,f26.0
1875,age_of_oldest_child,f3.0
1928,number_of_kids,f3.0
1981,copyright,f36.0
2001,dishwasher,f42.0
2012,portable,f42.0
2023,fabric,f45.0
2035,fabric_care,f46.0
2046,hazmat,f64.0
2058,heel_height,f65.0
2071,length_of_ownership,f75.0
2084,frequency_of_use,f75.0
2097,measurements,f78.0
2164,moq,f82.0
2178,number_of_boxes,f88.0
2192,orig_year,f92.0
